player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"McClanahan, Shane",FF,2020,97.8,98.7,6.8,hit_into_play,2315,0.544,0,1
"Buehler, Walker",FF,2020,97.8,98,6.4,foul_tip,2893,,,
"McClanahan, Shane",FF,2020,98.8,100,6.9,foul,2134,,,
"McClanahan, Shane",FF,2020,98.3,98.6,6.3,foul,2168,,,
"Curtiss, John",FF,2020,96.8,97.3,6.6,hit_into_play,2331,0,0,1
"Jansen, Kenley",FC,2020,90.7,92.4,7.3,hit_into_play,2599,0.535,0,1
"Sherriff, Ryan",SI,2020,91.3,91.6,6.3,foul,2046,,,
"Morton, Charlie",FF,2020,94.8,95.1,6.4,hit_into_play,2234,1.69,2,1
"Buehler, Walker",FC,2020,93.8,94.2,6.2,foul,2669,,,
"Treinen, Blake",FC,2020,94.0,93.6,5.8,foul,2494,,,
"McClanahan, Shane",FF,2020,97.7,98.4,6.6,swinging_strike,2195,,,
"Jansen, Kenley",SI,2020,93.5,95.3,7.4,hit_into_play,2200,1.872,2,1
"McClanahan, Shane",FF,2020,97.0,97.4,6.4,swinging_strike,2133,,,
"Curtiss, John",FF,2020,94.9,95,6.4,foul_tip,2268,,0,1
"Treinen, Blake",FC,2020,93.8,93.2,5.7,foul,2517,,,
"Morton, Charlie",FC,2020,87.3,87.8,6.3,hit_into_play,2406,0.01,0,1
"McClanahan, Shane",FF,2020,99.1,100.2,6.9,hit_into_play,2080,0.798,0.9,1
"Jansen, Kenley",SI,2020,93.1,94.9,7.4,foul,2188,,,
"McClanahan, Shane",FF,2020,100.0,101,6.7,foul,2202,,,
"Treinen, Blake",SI,2020,97.0,95.4,5.7,swinging_strike,2269,,0,1
"Curtiss, John",FF,2020,95.0,95,6.4,foul_tip,2209,,0,1
"Graterol, Brusdar",SI,2020,100.3,99.5,5.8,hit_into_play,2023,0.102,0,1
"Morton, Charlie",FF,2020,96.8,97,6.4,swinging_strike,2398,,,
