player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Lester, Jon",FF,2020,90.5,91.1,6.5,hit_into_play,2188,0.009,0,1
"Wainwright, Adam",FC,2020,84.7,85.4,6.7,swinging_strike,2408,,,
"Márquez, Germán",FF,2020,96.0,94.9,5.3,foul,2129,,,
"Cole, Gerrit",FF,2020,95.7,95.7,6.5,swinging_strike,2413,,,
"Dugger, Robert",SI,2020,90.0,89.6,6.3,hit_into_play,2220,0.703,1.25,1
"Anderson, Chase",FC,2020,87.8,87,5.8,swinging_strike,2354,,,
"Mize, Casey",SI,2020,94.6,94.8,6.5,foul,2131,,,
"Bieber, Shane",FF,2020,93.8,94,6.7,swinging_strike,2328,,,
"Young, Alex",FC,2020,85.8,84.8,5.5,foul,2489,,,
"Cole, Gerrit",FF,2020,97.5,97.8,6.5,hit_into_play,2350,0.245,0,1
"Kikuchi, Yusei",FF,2020,95.6,96.1,6.7,foul,2020,,,
"Wainwright, Adam",SI,2020,89.5,90.1,6.8,swinging_strike,2218,,0,1
"Canning, Griffin",FF,2020,92.6,92.3,5.8,swinging_strike,2460,,0,1
"deGrom, Jacob",FF,2020,99.0,99.8,6.9,foul,2407,,,
"Woodruff, Brandon",FF,2020,98.2,98.3,6.6,swinging_strike,2530,,,
"Castillo, Luis",SI,2020,97.8,96,5.4,hit_into_play,1995,0.074,0,1
"Giolito, Lucas",FF,2020,92.8,92.8,6.7,hit_into_play,2394,0.006,0,1
"Snell, Blake",FF,2020,95.1,96.5,7.1,foul,2390,,,
"Woodruff, Brandon",SI,2020,96.5,97.1,6.7,foul,2220,,,
"Lester, Jon",FC,2020,88.3,88.8,6.5,swinging_strike,2357,,0,1
"Waguespack, Jacob",SI,2020,90.2,90.9,6.7,hit_into_play,1938,0.678,0.9,1
"Young, Alex",FC,2020,86.0,84.9,5.6,swinging_strike,2492,,,
"Mize, Casey",FF,2020,94.4,94.2,6.6,foul,2344,,,
"Kikuchi, Yusei",FF,2020,94.9,95.5,6.7,swinging_strike,2063,,,
"deGrom, Jacob",FF,2020,99.4,100.1,6.8,foul,2457,,,
"Dugger, Robert",FF,2020,91.3,91.3,6.2,hit_into_play,2385,0.117,0,1
"Anderson, Chase",FF,2020,93.5,92.6,6,foul,2187,,,
"Young, Alex",FC,2020,87.3,86.7,5.7,hit_into_play,2458,0.174,0,1
"Cole, Gerrit",FF,2020,99.2,99.2,6.6,hit_into_play,2454,0.27,0,1
"Waguespack, Jacob",SI,2020,93.1,93.7,6.6,hit_into_play,1834,0.23,0.9,1
"Lester, Jon",SI,2020,90.5,91.3,6.7,swinging_strike,2064,,,
"Lyles, Jordan",FF,2020,91.2,92.7,7.1,hit_into_play,2124,0.579,0.9,1
"Fedde, Erick",SI,2020,93.4,94.8,6.8,foul,1859,,,
"Dugger, Robert",FF,2020,91.9,91.6,6.2,foul,2258,,,
"Giolito, Lucas",FF,2020,94.1,94.5,6.8,hit_into_play,2397,0.669,0,1
"Bubic, Kris",FF,2020,91.6,92,6.9,foul,2351,,,
"Lester, Jon",SI,2020,88.8,89.5,6.6,foul,2054,,,
"Waguespack, Jacob",FF,2020,93.9,94.7,6.6,foul,2094,,,
"Snell, Blake",FF,2020,96.2,97.7,7.3,foul,2383,,,
"Márquez, Germán",SI,2020,95.1,94.2,5.3,foul,2165,,,
"deGrom, Jacob",FF,2020,98.4,99.8,7,foul,2453,,,
"Brault, Steven",FF,2020,91.8,93,6.9,swinging_strike,2185,,0,1
"Maeda, Kenta",SI,2020,90.4,89.2,6,foul,2268,,,
"Mize, Casey",SI,2020,92.4,92.5,6.6,hit_into_play,2138,0.101,0,1
"Kikuchi, Yusei",FC,2020,92.4,92.8,6.7,hit_into_play,2251,0.028,1.25,1
"Nola, Aaron",SI,2020,92.4,93.4,6.9,swinging_strike,2027,,0,1
"Fedde, Erick",FF,2020,93.6,95,6.7,hit_into_play,1761,0.583,0,1
"Tomlin, Josh",FC,2020,85.5,85,5.8,hit_into_play,2589,0.778,0.9,1
"Canning, Griffin",FF,2020,92.1,92,5.9,hit_into_play,2436,0.558,0,1
"Tomlin, Josh",FF,2020,88.9,88,5.6,foul,2361,,,
"Lester, Jon",FF,2020,90.1,90.8,6.6,hit_into_play,2330,1.421,0,1
"Fedde, Erick",FC,2020,88.4,89.5,6.7,foul,1907,,,
"Dugger, Robert",FF,2020,91.8,91.4,6.1,hit_into_play,2365,0.216,0,1
"Castano, Daniel",FF,2020,90.2,89.9,6.2,hit_into_play,2294,0.094,1.25,1
"Waguespack, Jacob",FC,2020,89.6,90.3,6.5,foul,1867,,,
"Márquez, Germán",SI,2020,93.7,92.9,5.4,hit_into_play,2077,0.391,0.9,1
"Anderson, Chase",FF,2020,92.6,92.1,6,hit_into_play,2093,1.627,2,1
"Woodruff, Brandon",FF,2020,96.8,97.6,6.7,hit_into_play,2372,0.144,0,1
